﻿Konu,Soru,Gerçek_Cevap,ChatGPT_Cevap    
TCP/IP Protokolleri,Ping of Death saldırısı nasıl gerçekleşir?,Saldırgan IP paketinin parça ofseti alanındaki 3-bit eksikliğini kullanarak 65535 bayttan daha fazla bir paket oluşturur. Bu beklenmedik boyut alıcı cihazda bellek taşmasına neden olarak DoS saldırısına yol açar.,"Ping of Death saldırısı, hedef sisteme maksimum boyutu aşan parçalanmış ICMP paketleri göndererek gerçekleştirilir. Bu paketler birleştirildiğinde hedef sistemin tampon belleğinde taşma meydana gelir ve bu durum sistemin çökmesine veya yeniden başlamasına neden olabilir."
TCP Zayıflıkları,TCP SYN Flood saldırısı nedir?,Saldırgan sunucuya SYN bayrağı işaretli istekler göndererek 3-yollu el sıkışmasını tamamlamaz. Sunucuda birçok yarım açık oturum oluşur ve yeni oturum alamaz hale gelir.,"TCP SYN Flood saldırısı, bir saldırganın hedef sunucuya çok sayıda TCP SYN isteği göndererek sunucunun yarı açık bağlantılarla dolmasına ve yeni bağlantı taleplerine yanıt verememesine neden olan bir tür hizmet engelleme (DoS) saldırısıdır. Bu saldırı, hedef sistemin kaynaklarını tüketerek hizmetin yavaşlamasına veya tamamen çökmesine yol açar."
ARP Protokolü,ARP zehirlenmesi saldırısı nasıl çalışır?,Saldırgan ARP isteğine sahte MAC adresi ile cevap vererek trafiği kendi üzerine yönlendirir. Bu sayede ortadaki adam saldırısı yapabilir veya hizmet reddi sağlayabilir.,"ARP zehirlenmesi saldırısı, bir saldırganın yerel ağda ARP tablolarını manipüle ederek, hedef cihazların IP adreslerini kendi MAC adresiyle eşleştirmesiyle çalışır. Bu sayede saldırgan, hedef cihazlar arasındaki trafiği izleyebilir, yönlendirebilir veya değiştirebilir."
ICMP Protokolü,ICMP protokolü keşif saldırılarında nasıl kullanılır?,ICMP echo isteklerine verilen cevaptaki TTL değerinden işletim sistemi tespit edilebilir. Tracert ile paketlerin geçtiği yoldaki cihazların IP adresleri öğrenilerek ağ haritası çıkarılabilir.,"ICMP protokolü, keşif saldırılarında ağdaki aktif cihazları belirlemek için ""ping sweep"" veya ""ICMP echo request"" mesajları göndererek kullanılır. Bu mesajlar, hedef cihazların yanıt verip vermediğini kontrol ederek ağ haritası çıkarmaya yardımcı olur."
DHCP Protokolü,DHCP açlık saldırısı nedir?,Saldırgan DHCP sunucusunun tüm IP adreslerini tüketene kadar IP talep eder. Sunucuda IP adresi tükendiğinde meşru kullanıcılar IP alamaz ve ağa bağlanamaz.,"DHCP açlık saldırısı, bir saldırganın ağdaki tüm DHCP IP adres havuzunu tüketmek amacıyla sahte DHCP istekleri göndererek IP adreslerinin tükenmesine neden olduğu bir saldırı türüdür. Bu durum, meşru kullanıcıların IP adresi alamamasına ve dolayısıyla ağa bağlanamamasına yol açar."
DNS Protokolü,DNS tünelleme saldırısı nasıl gerçekleştirilir?,Veriler kodlanmış parçalara bölünür ve DNS sorgusunun alt düzey etki alanı etiketlerine yerleştirilir. Bu yöntem güvenlik çözümlerini atlayarak gizli veri aktarımına olanak sağlar.,"DNS tünelleme saldırısı, veri paketlerini DNS sorguları ve yanıtları içine gizleyerek bir ağdan veri sızdırmak veya komutlar iletmek için gerçekleştirilir. Bu, genellikle bir istemci ve bir kontrol sunucusu arasında özel bir DNS sunucusu üzerinden veri alışverişi yaparak gerçekleştirilir."
Kablosuz Ağlar,WPA3 şifreleme modelinin avantajları nelerdir?,WPA3 daha güçlü şifreleme sağlar ve bruteforce saldırılarına karşı daha fazla koruma sunar. 2018 yılında duyurulmuş ve halihazırda en güvenilir şifreleme modelidir.,"WPA3, daha güçlü şifreleme ile güvenliği artırır ve bireysel veri şifreleme (SAE) kullanarak parola tahmin saldırılarına karşı koruma sağlar. Ayrıca, daha güçlü kimlik doğrulama ve gelişmiş şifreleme protokolleri ile açık ağlarda bile kullanıcı verilerini daha iyi korur."
Kablosuz Güvenlik,WPS özelliği neden güvenlik riski oluşturur?,WPS kullanıcıların tek tuşla şifre girmeden ağa dahil olmasını sağlar ancak eski ve güncellenmemiş modemlerde açık bulunur. Çeşitli yazılımlarla WPS açığı kullanılarak yetkisiz erişim sağlanabilir.,"WPS (Wi-Fi Protected Setup), PIN tabanlı bir bağlantı yöntemi kullandığından, brute force saldırılarına karşı savunmasızdır ve bu da saldırganların ağınıza yetkisiz erişim sağlamasını kolaylaştırabilir. Ayrıca, bazı WPS uygulamaları, PIN doğrulama sürecinde zayıf uygulamalar nedeniyle daha hızlı kırılabilir."
Kablosuz Saldırılar,Şeytani İkiz saldırısı nasıl gerçekleşir?,Saldırgan hedef ağla aynı isme sahip sahte bir ağ oluşturur. Kullanıcılar sahte ağa bağlandığında WiFi bilgileri ele geçirilir ve ardından sahte ağ kaybolurak gerçek ağa bağlanmaları sağlanır.,"Şeytani İkiz saldırısı, saldırganın meşru bir Wi-Fi erişim noktasının kopyasını oluşturarak kullanıcıları bu sahte ağa bağlanmaya yönlendirmesiyle gerçekleşir. Kullanıcılar sahte ağa bağlandığında, saldırganlar veri trafiğini izleyebilir ve hassas bilgileri çalabilir."
Bluetooth Güvenliği,Bluetooth güvenliği için hangi önlemler alınmalıdır?,Kullanılmadığında Bluetooth kapatılmalı ve standart 1234 gibi şifreler yerine karmaşık en az 5 haneli şifre belirlenmelidir. Bluetooth kullanan programların erişim izinleri düzenli olarak kontrol edilmelidir.,"Bluetooth güvenliği için cihaz keşfedilebilirliğini kapatmak, güçlü bir PIN kullanmak ve düzenli olarak yazılım güncellemelerini uygulamak önemlidir. Ayrıca, yalnızca güvenilir cihazlarla eşleştirme yaparak ve kullanılmadığında Bluetooth'u kapatarak güvenlik artırılabilir."
